date,total_sleep_hrs,light_sleep_hrs,deep_sleep_hrs,rem_sleep_hrs,awake_hrs,latency_mins,interruptions,consistency_score,sleep_score,suggestion
2024-01-01,4.5,1.2,0.5,0.4,6.0,60,8,30,28,"Poor sleep. Improve sleep hygiene and reduce interruptions."
2024-01-02,5.0,1.5,0.7,0.5,5.5,55,7,35,33,"Poor sleep. Try reducing latency and awake time."
2024-01-03,5.2,1.6,0.8,0.5,5.2,52,6,37,36,"Poor to average. Focus on consistent bedtime."
2024-01-04,5.5,1.7,0.8,0.6,5.0,50,6,40,38,"Poor to average. Work on reducing interruptions."
2024-01-05,6.0,2.0,1.0,0.8,4.5,45,5,45,45,"Average sleep. Moderate quality, improve latency."
2024-01-06,6.2,2.1,1.1,0.8,4.3,43,5,47,47,"Average sleep. Maintain regular sleep schedule."
2024-01-07,6.5,2.3,1.2,1.0,4.0,40,4,50,50,"Average sleep. Good routine, but improve deep sleep."
2024-01-08,6.8,2.5,1.3,1.1,3.8,38,4,52,52,"Average sleep. Focus on reducing latency."
2024-01-09,7.0,2.8,1.5,1.2,3.5,35,3,60,58,"Good sleep. Reduce interruptions for better quality."
2024-01-10,7.2,2.9,1.5,1.3,3.3,33,3,62,60,"Good sleep. Improve sleep hygiene."
2024-01-11,7.5,3.0,1.7,1.3,3.0,30,2,65,65,"Good sleep. Maintain sleep consistency."
2024-01-12,7.7,3.2,1.8,1.4,2.8,28,2,67,67,"Good sleep. Keep sleep environment optimal."
2024-01-13,8.0,3.4,2.0,1.5,2.5,25,1,75,73,"Better sleep. Excellent deep and REM sleep."
2024-01-14,8.2,3.5,2.1,1.6,2.3,22,1,77,75,"Better sleep. Good sleep latency."
2024-01-15,8.5,3.7,2.3,1.7,2.0,20,1,80,78,"Great sleep. Maintain regular schedule."
2024-01-16,8.7,3.8,2.4,1.8,1.8,18,1,82,80,"Great sleep. Excellent sleep stages."
2024-01-17,9.0,4.0,2.5,2.0,1.5,15,0,85,85,"Excellent sleep. Near optimal deep and REM sleep."
2024-01-18,9.1,4.1,2.6,2.1,1.4,12,0,87,88,"Excellent sleep. Keep up the great routine."
2024-01-19,9.3,4.2,2.7,2.2,1.3,10,0,90,90,"Excellent sleep. Minimal interruptions."
2024-01-20,9.5,4.3,2.9,2.3,1.1,8,0,92,92,"Near perfect sleep. Optimal sleep stages."
2024-01-21,9.6,4.4,3.0,2.4,1.0,7,0,93,94,"Near perfect sleep. Excellent consistency."
2024-01-22,9.7,4.5,3.1,2.5,0.9,6,0,95,95,"Best sleep quality. Keep up the great habits."
2024-01-23,9.8,4.6,3.2,2.6,0.8,5,0,97,97,"Perfect sleep. Optimal deep, REM, minimal awake time."
2024-01-24,9.9,4.7,3.3,2.7,0.7,4,0,98,98,"Perfect sleep. Ideal sleep duration and stages."
2024-01-25,10.0,4.8,3.4,2.8,0.6,3,0,100,100,"Perfect sleep. Ideal sleep quality."
2024-01-26,5.0,1.4,0.6,0.5,5.5,52,7,40,38,"Poor sleep. Improve sleep hygiene."
2024-01-27,5.2,1.5,0.7,0.5,5.3,50,6,42,40,"Poor sleep. Increase total sleep hours."
2024-01-28,5.5,1.7,0.8,0.6,5.0,48,6,45,44,"Poor to average. Work on latency."
2024-01-29,5.7,1.8,0.9,0.6,4.8,46,5,47,46,"Average sleep. Improve deep sleep."
2024-01-30,6.0,2.0,1.0,0.8,4.5,45,5,50,50,"Average sleep. Good start."
2024-01-31,6.3,2.2,1.1,0.9,4.2,43,4,52,52,"Average sleep. Maintain consistency."
2024-02-01,6.5,2.3,1.2,1.0,4.0,40,4,55,55,"Average sleep. Improve interruptions."
2024-02-02,6.7,2.4,1.3,1.1,3.8,38,3,57,57,"Average sleep. Good sleep latency."
2024-02-03,7.0,2.7,1.5,1.3,3.5,35,3,60,60,"Good sleep. Reduce awake time."
2024-02-04,7.2,2.9,1.6,1.4,3.3,33,3,62,62,"Good sleep. Maintain routine."
2024-02-05,7.5,3.1,1.7,1.5,3.0,30,2,65,65,"Good sleep. Keep sleep environment optimal."
2024-02-06,7.7,3.3,1.8,1.6,2.8,28,2,67,67,"Good sleep. Excellent consistency."
2024-02-07,8.0,3.5,2.0,1.7,2.5,25,1,70,70,"Better sleep. Near optimal sleep stages."
2024-02-08,8.2,3.6,2.1,1.8,2.3,23,1,72,72,"Better sleep. Great latency."
2024-02-09,8.5,3.8,2.3,2.0,2.0,20,1,75,75,"Great sleep. Maintain this routine."
2024-02-10,8.7,4.0,2.4,2.1,1.8,18,0,78,78,"Great sleep. Keep up good habits."
2024-02-11,9.0,4.2,2.6,2.3,1.5,15,0,80,80,"Excellent sleep. Near perfect sleep."
2024-02-12,9.2,4.3,2.7,2.4,1.3,12,0,83,83,"Excellent sleep. Ideal sleep stages."
2024-02-13,9.4,4.4,2.8,2.5,1.2,10,0,85,85,"Excellent sleep. Perfect consistency."
2024-02-14,9.5,4.5,2.9,2.6,1.1,9,0,87,87,"Near perfect sleep. Keep routine."
2024-02-15,9.7,4.6,3.0,2.7,0.9,8,0,90,90,"Best sleep. Optimal latency."
2024-02-16,9.8,4.7,3.1,2.8,0.8,7,0,92,92,"Best sleep. Perfect interruptions."
2024-02-17,9.9,4.8,3.2,2.9,0.7,6,0,95,95,"Perfect sleep. Keep it consistent."
2024-02-18,10.0,4.9,3.3,3.0,0.6,5,0,98,98,"Perfect sleep. Ideal sleep quality."
2024-02-19,5.0,1.3,0.5,0.4,5.7,55,7,38,36,"Poor sleep. Increase deep sleep."
2024-02-20,5.3,1.6,0.7,0.5,5.3,50,6,40,39,"Poor sleep. Work on latency."
2024-02-21,5.5,1.7,0.8,0.6,5.0,48,6,43,42,"Poor to average. Improve routine."
2024-02-22,6.0,2.0,1.0,0.8,4.5,45,5,48,47,"Average sleep. Moderate quality."
2024-02-23,6.3,2.2,1.1,0.9,4.2,43,5,50,50,"Average sleep. Good start."
2024-02-24,6.5,2.3,1.2,1.0,4.0,40,4,52,52,"Average sleep. Maintain routine."
2024-02-25,7.0,2.7,1.5,1.3,3.5,35,3,60,60,"Good sleep. Reduce awake time."
2024-02-26,7.3,2.9,1.6,1.4,3.2,33,3,62,62,"Good sleep. Keep routine."
2024-02-27,7.5,3.1,1.7,1.5,3.0,30,2,65,65,"Good sleep. Excellent consistency."
2024-02-28,7.8,3.3,1.8,1.6,2.7,28,2,67,67,"Good sleep. Improve latency."
2024-02-29,8.0,3.5,2.0,1.7,2.5,25,1,70,70,"Better sleep. Near optimal stages."
2024-03-01,8.3,3.7,2.2,1.8,2.2,23,1,73,72,"Better sleep. Keep consistent."
2024-03-02,8.5,3.9,2.3,2.0,2.0,20,1,75,75,"Great sleep. Excellent deep sleep."
2024-03-03,8.7,4.0,2.4,2.1,1.8,18,0,78,78,"Great sleep. Keep habits."
2024-03-04,9.0,4.2,2.6,2.3,1.5,15,0,80,80,"Excellent sleep. Near perfect."
2024-03-05,9.3,4.4,2.8,2.5,1.3,12,0,85,85,"Excellent sleep. Perfect stages."
2024-03-06,9.5,4.6,3.0,2.6,1.1,10,0,90,90,"Perfect sleep. Maintain routine."
2024-03-07,9.7,4.7,3.1,2.7,0.9,8,0,92,92,"Perfect sleep. Ideal quality."
2024-03-08,9.8,4.8,3.2,2.8,0.8,7,0,95,95,"Perfect sleep. Keep consistency."
2024-03-09,10.0,5.0,3.4,3.0,0.6,5,0,98,98,"Perfect sleep. Optimal routine."
2024-03-10,5.0,1.2,0.5,0.4,5.8,55,7,35,33,"Poor sleep. Improve sleep hygiene."
2024-01-01,5.0,1.2,0.5,0.4,5.8,55,7,35,33,"Poor sleep. Improve sleep hygiene."
2024-01-02,5.5,1.4,0.6,0.5,5.3,50,6,38,36,"Poor sleep. Try to reduce interruptions."
2024-01-03,6.0,1.8,0.8,0.6,4.8,45,5,42,40,"Average sleep. Moderate improvement needed."
2024-01-04,6.2,2.0,0.9,0.7,4.5,43,4,45,44,"Average sleep. Keep consistent bedtime."
2024-01-05,6.5,2.2,1.0,0.8,4.3,40,4,48,47,"Average sleep. Good start."
2024-01-06,6.8,2.4,1.1,0.9,4.0,38,3,50,49,"Average sleep. Maintain routine."
2024-01-07,7.0,2.6,1.3,1.0,3.7,35,3,53,52,"Good sleep. Reduce awake time."
2024-01-08,7.2,2.8,1.4,1.1,3.5,33,2,55,54,"Good sleep. Improve sleep stages."
2024-01-09,7.5,3.0,1.5,1.2,3.3,30,2,58,57,"Good sleep. Excellent consistency."
2024-01-10,7.8,3.2,1.6,1.3,3.1,28,2,60,60,"Good sleep. Near optimal stages."
2024-01-11,8.0,3.4,1.8,1.4,2.9,25,1,63,62,"Better sleep. Keep consistent."
2024-01-12,8.3,3.6,1.9,1.5,2.7,23,1,65,65,"Better sleep. Great deep sleep."
2024-01-13,8.5,3.8,2.0,1.6,2.5,20,1,68,67,"Great sleep. Maintain habits."
2024-01-14,8.7,4.0,2.1,1.7,2.3,18,1,70,70,"Great sleep. Ideal quality."
2024-01-15,9.0,4.2,2.3,1.8,2.0,15,0,72,72,"Excellent sleep. Near perfect."
2024-01-16,9.2,4.4,2.4,1.9,1.8,13,0,75,75,"Excellent sleep. Perfect stages."
2024-01-17,9.5,4.6,2.6,2.0,1.5,10,0,78,78,"Perfect sleep. Keep routine."
2024-01-18,9.7,4.8,2.7,2.1,1.3,8,0,80,80,"Perfect sleep. Optimal consistency."
2024-01-19,10.0,5.0,3.0,2.2,1.0,5,0,83,83,"Perfect sleep. Maintain habits."
2024-01-20,4.8,1.0,0.4,0.3,6.2,60,8,30,28,"Poor sleep. Improve sleep hygiene."
2024-01-21,5.0,1.2,0.5,0.4,6.0,55,7,32,30,"Poor sleep. Reduce latency."
2024-01-22,5.5,1.5,0.6,0.5,5.5,50,6,35,34,"Average sleep. Moderate improvement."
2024-01-23,6.0,1.8,0.8,0.7,5.0,45,5,38,37,"Average sleep. Keep routine."
2024-01-24,6.3,2.0,0.9,0.8,4.7,42,5,40,39,"Average sleep. Maintain habits."
2024-01-25,6.5,2.2,1.0,0.9,4.5,40,4,42,41,"Good sleep. Improve stages."
2024-01-26,6.8,2.5,1.2,1.0,4.2,38,3,45,44,"Good sleep. Keep consistent."
2024-01-27,7.0,2.7,1.3,1.1,3.9,35,3,48,47,"Good sleep. Excellent routine."
2024-01-28,7.3,2.9,1.5,1.2,3.7,33,2,50,50,"Good sleep. Maintain latency."
2024-01-29,7.5,3.1,1.6,1.3,3.5,30,2,53,52,"Better sleep. Keep habits."
2024-01-30,7.8,3.3,1.7,1.4,3.3,28,2,55,54,"Better sleep. Ideal consistency."
2024-01-31,8.0,3.5,1.9,1.5,3.0,25,1,58,57,"Great sleep. Excellent stages."
2024-02-01,8.3,3.7,2.0,1.6,2.8,23,1,60,60,"Great sleep. Maintain routine."
2024-02-02,8.5,3.9,2.2,1.7,2.5,20,1,62,62,"Excellent sleep. Perfect sleep."
2024-02-03,8.7,4.0,2.3,1.8,2.3,18,0,65,65,"Excellent sleep. Near perfect."
2024-02-04,9.0,4.2,2.5,1.9,2.0,15,0,67,67,"Perfect sleep. Keep consistency."
2024-02-05,9.2,4.4,2.6,2.0,1.8,13,0,70,70,"Perfect sleep. Maintain routine."
2024-02-06,9.5,4.6,2.8,2.1,1.5,10,0,73,73,"Perfect sleep. Ideal habits."
2024-02-07,9.7,4.8,2.9,2.2,1.3,8,0,75,75,"Perfect sleep. Optimal quality."
2024-02-08,10.0,5.0,3.1,2.3,1.0,5,0,78,78,"Perfect sleep. Maintain routine."
2024-02-09,5.2,1.3,0.5,0.4,5.8,53,6,33,31,"Poor sleep. Improve latency."
2024-02-10,5.5,1.5,0.6,0.5,5.5,50,6,35,33,"Poor sleep. Reduce interruptions."
2024-02-11,6.0,1.8,0.8,0.7,5.0,45,5,38,36,"Average sleep. Moderate quality."
2024-02-12,6.2,2.0,0.9,0.8,4.7,42,4,40,39,"Average sleep. Keep consistent."
2024-02-13,6.5,2.2,1.0,0.9,4.5,40,4,42,41,"Good sleep. Improve stages."
2024-02-14,6.8,2.5,1.2,1.0,4.2,38,3,45,44,"Good sleep. Maintain habits."
2024-02-15,7.0,2.7,1.3,1.1,3.9,35,3,48,47,"Good sleep. Excellent routine."
2024-02-16,7.3,2.9,1.5,1.2,3.7,33,2,50,50,"Better sleep. Maintain latency."
2024-02-17,7.5,3.1,1.6,1.3,3.5,30,2,53,52,"Better sleep. Keep consistent."
2024-02-18,7.8,3.3,1.7,1.4,3.3,28,2,55,54,"Great sleep. Ideal habits."
2024-02-19,8.0,3.5,1.9,1.5,3.0,25,1,58,57,"Great sleep. Perfect stages."
2024-02-20,8.3,3.7,2.0,1.6,2.8,23,1,60,60,"Excellent sleep. Maintain routine."
2024-02-21,8.5,3.9,2.2,1.7,2.5,20,1,62,62,"Excellent sleep. Perfect sleep."
2024-02-22,8.7,4.0,2.3,1.8,2.3,18,0,65,65,"Perfect sleep. Keep consistency."
2024-02-23,9.0,4.2,2.5,1.9,2.0,15,0,67,67,"Perfect sleep. Maintain routine."
2024-02-24,9.2,4.4,2.6,2.0,1.8,13,0,70,70,"Perfect sleep. Ideal quality."
2024-02-25,9.5,4.6,2.8,2.1,1.5,10,0,73,73,"Perfect sleep. Optimal habits."
2024-02-26,9.7,4.8,2.9,2.2,1.3,8,0,75,75,"Perfect sleep. Keep routine."
2024-02-27,10.0,5.0,3.1,2.3,1.0,5,0,78,78,"Perfect sleep. Maintain quality."
2024-02-28,4.7,1.0,0.4,0.3,6.3,60,7,30,28,"Poor sleep. Improve sleep hygiene."
2024-02-29,5.0,1.2,0.5,0.4,6.0,55,7,32,30,"Poor sleep. Reduce latency."
2024-03-01,5.3,1.3,0.5,0.4,5.7,53,6,33,31,"Poor sleep. Moderate interruptions."
2024-03-02,6.0,1.8,0.8,0.6,5.0,45,5,38,36,"Average sleep. Maintain consistency."
2024-03-03,6.4,2.0,0.9,0.7,4.6,42,4,41,40,"Average sleep. Good routine."
2024-03-04,6.7,2.3,1.0,0.8,4.3,40,3,43,42,"Good sleep. Improve stages."
2024-03-05,7.0,2.5,1.2,0.9,4.0,38,3,46,45,"Good sleep. Keep consistent."
2024-03-06,7.3,2.7,1.3,1.0,3.7,35,2,48,47,"Better sleep. Excellent routine."
2024-03-07,7.6,3.0,1.4,1.1,3.4,33,2,50,50,"Better sleep. Maintain latency."
2024-03-08,7.9,3.2,1.5,1.2,3.1,30,2,53,52,"Great sleep. Keep habits."
2024-03-09,8.2,3.5,1.7,1.3,2.8,28,1,55,54,"Great sleep. Ideal consistency."
2024-03-10,8.5,3.7,1.8,1.4,2.5,25,1,58,57,"Excellent sleep. Perfect stages."
2024-05-01,3.2,0.8,0.1,0.1,8.3,7,8,15,5,"Extremely poor sleep. Try to improve your sleep environment."
2024-05-02,3.0,0.7,0.1,0.1,8.5,6,9,12,3,"Very low sleep score. Avoid screen time before bed."
2024-05-03,3.1,0.6,0.1,0.2,8.2,5,7,14,7,"Poor sleep. Practice relaxation techniques."
2024-05-04,3.3,0.8,0.2,0.1,8.1,4,6,16,9,"Low sleep score. Maintain a regular bedtime."
2024-05-05,3.0,0.7,0.1,0.1,8.7,3,8,13,4,"Very poor sleep. Avoid caffeine late in the day."
2024-05-06,2.8,0.6,0.1,0.1,9.0,2,9,11,2,"Extremely poor sleep. Consider consulting a specialist."
2024-05-07,3.4,0.9,0.2,0.1,8.0,1,5,17,8,"Poor sleep. Limit naps during the day."
2024-05-08,3.1,0.7,0.1,0.1,8.4,5,7,14,6,"Low sleep score. Try meditation before bed."
2024-05-09,3.3,0.8,0.2,0.2,8.2,6,6,15,7,"Poor sleep. Avoid heavy meals at night."
2024-05-10,2.9,0.6,0.1,0.1,8.8,7,8,12,3,"Very poor sleep. Manage stress levels."
2024-05-11,3.0,0.7,0.1,0.1,8.7,4,7,13,5,"Poor sleep. Improve your bedtime routine."
2024-05-12,3.2,0.8,0.2,0.1,8.3,3,6,15,6,"Low sleep score. Avoid alcohol before bed."
2024-05-13,3.1,0.7,0.1,0.1,8.6,5,7,14,4,"Very poor sleep. Create a comfortable sleep environment."
2024-05-14,3.3,0.8,0.2,0.1,8.1,2,5,16,9,"Poor sleep. Maintain consistent wake-up times."
2024-05-01,4.3,1.1,0.3,0.2,6.5,7,8,24,20,"Poor sleep. Try to reduce awake time and improve sleep routine."
2024-05-02,3.9,0.9,0.2,0.1,7.0,6,9,20,15,"Very poor sleep. Avoid caffeine late in the day."
2024-05-03,4.1,1.0,0.3,0.2,6.7,5,7,22,18,"Poor sleep. Practice relaxation before bedtime."
2024-05-04,4.0,0.9,0.2,0.2,6.6,4,8,23,21,"Poor sleep. Reduce screen time before sleep."
2024-05-05,3.8,0.7,0.2,0.1,7.3,3,9,19,14,"Very poor sleep. Maintain a consistent bedtime."
2024-05-06,4.2,1.0,0.3,0.2,6.4,2,7,25,22,"Poor sleep. Avoid heavy meals late at night."
2024-05-07,3.7,0.8,0.2,0.1,7.2,1,6,18,13,"Very poor sleep. Try mindfulness or meditation."
2024-05-08,4.1,1.0,0.3,0.2,6.8,4,7,23,19,"Poor sleep. Avoid late night screen exposure."
2024-05-09,3.5,0.6,0.2,0.1,7.4,5,8,17,12,"Very poor sleep. Try to manage stress levels."
2024-05-10,4.0,1.0,0.3,0.2,6.7,6,7,22,20,"Poor sleep. Maintain a regular sleep schedule."
2024-05-11,3.9,0.9,0.2,0.1,7.1,7,6,21,15,"Poor sleep. Avoid alcohol before bedtime."
2024-05-12,4.3,1.1,0.3,0.2,6.5,4,8,24,18,"Poor sleep. Try breathing exercises before sleep."
2024-05-13,3.6,0.7,0.2,0.1,7.3,3,9,19,14,"Very poor sleep. Create a comfortable sleep environment."
2024-05-14,4.0,1.0,0.3,0.2,6.6,5,7,23,20,"Poor sleep. Limit naps during the day.
2024-05-01,6.0,2.5,1.0,1.0,4.5,20,3,50,45,"Average sleep. Keep a consistent bedtime and reduce screen time."
2024-05-02,6.5,2.7,1.2,1.1,4.0,18,2,55,50,"Moderate sleep quality. Avoid caffeine in the afternoon."
2024-05-03,6.2,2.6,1.1,1.0,4.2,15,3,52,48,"Average sleep. Try relaxation techniques before bed."
2024-05-04,6.8,3.0,1.3,1.2,3.8,16,4,58,55,"Moderate sleep. Maintain regular sleep schedule."
2024-05-05,5.9,2.4,1.0,0.9,4.6,22,3,49,43,"Average sleep. Avoid heavy meals at night."
2024-05-06,6.1,2.5,1.1,1.0,4.4,19,2,51,47,"Moderate sleep. Try to reduce interruptions."
2024-05-07,6.3,2.7,1.2,1.1,4.1,17,3,53,49,"Average sleep. Create a comfortable sleep environment."
2024-05-08,6.0,2.5,1.0,1.0,4.5,21,4,50,44,"Moderate sleep. Limit naps during the day."
2024-05-09,6.4,2.8,1.2,1.1,4.0,18,3,54,51,"Average sleep. Manage stress effectively."
2024-05-10,6.2,2.6,1.1,1.0,4.3,20,2,52,48,"Moderate sleep. Maintain bedtime routine."
2024-05-11,6.0,2.5,1.0,1.0,4.4,19,3,50,45,"Average sleep. Avoid alcohol before sleep."
2024-05-12,6.5,2.7,1.2,1.1,4.1,16,4,55,50,"Moderate sleep. Practice breathing exercises."
2024-05-13,6.1,2.5,1.1,1.0,4.3,20,3,51,47,"Average sleep. Create a calm sleep environment."
2024-05-14,6.3,2.7,1.2,1.1,4.0,17,3,53,49,"Moderate sleep. Keep consistent wake times."


